fecha_extraccion,grupo_url,post_texto,longitud_texto,content_hash,scroll_origen,nombre_negocio_estimado,direcciones_detectadas,barrios_detectados,categoria_producto,productos_keywords,tiene_nombre_estimado,tiene_direccion,tiene_categoria,requiere_revision_manual
2026-06-29 16:54:09,https://www.facebook.com/groups/1745396122434438/,"La lechona que impresiona a todos — Oliser Chef y Tradición en Horno · Medellín Una lechona que habla por sí sola. En Oliser Chef y Tradición en Horno no preparamos lechona — preparamos el momento que hace que todos en el evento se voltéen a preguntar ""¿de dónde la trajeron?"". Cocción en horno artesanal. Sazón propia. El mismo rigor de siempre. ¿Tienes un evento, reunión empresarial o celebración familiar próxima? Cuéntanos para cuántas personas y te cotizamos sin compromiso. Pedidos corporativos y familiares desde 10 porciones Medellín y área metropolitana de Antioquia WhatsApp: [tu número] — respondemos en menos de 1 hora #lechona #comidacolombiana #OliserChef #TradicionEnHorno #eventosgastronomicos #CateringMedellin #GastronomiaColombiana #Antioquia Ver menos",772,40299b51a728c86255a901fc3eb25e3a14413f878585003803ef2dcac418ddbe,1,Oliser Chef y Tradición en Horno,,,lechona,lechona,Si,No,Si,Si
2026-06-29 16:54:25,https://www.facebook.com/groups/1745396122434438/,Las salsas más picantes de todo Bogotá,38,4bfb32a5d71bad9090eb132b06cfea076606a552b3410e518a319147421f68d1,2,,,,salsas,salsa | salsas | picante | picantes,No,No,Si,Si
2026-06-29 16:54:38,https://www.facebook.com/groups/1745396122434438/,O ven y lo vemos todos juntos Wa.me/573114332838,48,a855b80d8c596b7177c06bcd6ee8fabd4cc1475ad1998f767347f98d2e957821,3,,,,,,No,No,No,Si
2026-06-29 16:54:38,https://www.facebook.com/groups/1745396122434438/,"El hogao: la salsa madre de Colombia | Receta tradicional con técnica de chef Hay recetas que no necesitan reinventarse — solo necesitan respeto. El hogao es la base de la cocina colombiana. Es la salsa con la que comenzó todo: el sancocho, la bandeja paisa, los frijoles, el arroz. Sin hogao, no hay cocina colombiana. Hoy en Oliser Chef y Tradición en Horno te compartimos la receta tradicional, con la técnica correcta y el cariño de siempre. Un detalle que cambia todo: el hogao se hace en caldero, nunca en sartén. El fondo del caldero concentra el sabor de una manera que ninguna sartén puede igualar. ¿Tu familia tiene algún secreto para el hogao? Cuéntanos en los comentarios ¿Quieres probar el nuestro? Escríbenos por WhatsApp — link en bio. #OliserChef #hogao #cocinacolombiana #RecetaTradicional #ComidaCasera Ver menos",830,cb895082ba11cfd0d22844330d309ef78f16966374b42f85dd9123a53421c1ab,3,Oliser Chef y Tradición en Horno,,,salsas,salsa | hogao,Si,No,Si,Si
2026-06-29 16:54:38,https://www.facebook.com/groups/1745396122434438/,Te invitamos a disfrutar de esta promoción de los viernes Domicilios 302 5223321,80,a9cac8c410180d1fe65cddab0bfc70ce888115d7a2afe214e1157d96899026ad,3,,,,,,No,No,No,Si
2026-06-29 16:54:55,https://www.facebook.com/groups/1745396122434438/,Todo disponible para entrega inmediata Wa.me/573114332838,57,e9cec05ec5a5fd54bac2359198f8cc8c34e4848ac46e25a5f5c8c298d97d3de7,4,,,,,,No,No,No,Si
2026-06-29 16:54:55,https://www.facebook.com/groups/1745396122434438/,"Recuerda que ya están disponibles nuestros productos brasileños, hamburguesa maracanada y papas en favela",105,4677fb63a87e905388e984223f45827871f0457905daaf81eeac43646c25e91d,4,,,,hamburguesa | comida rápida | brasileña,hamburguesa | papas | brasileño | brasileños | maracanada | favela,No,No,Si,Si
2026-06-29 16:55:13,https://www.facebook.com/groups/1745396122434438/,Domicilios 302 5223321 HOY ES MARTES DE 2X1 LLEVATE 2 HAMBURGUESAS QUESUDAS MAS GASEOSAS POR SOLO $26.900 Ver menos,115,8972d84f9617fe3197f82bb92267c9f7acf9db9a772e00dd227518b01520413b,5,,,,hamburguesa,hamburguesa | hamburguesas,No,No,Si,Si
2026-06-29 16:55:13,https://www.facebook.com/groups/1745396122434438/,Hay postres que simplemente abrazan el corazón… y nuestra torta de 3 leches es uno de ellos S... Ver más,104,a1714a914fcaa4e36c24bb4f6edcaaf2defb03ac56d2f74c5ed7f049ff8517af,5,,,,postres/repostería,postre | postres | torta | 3 leches,No,No,Si,Si
2026-06-29 16:55:13,https://www.facebook.com/groups/1745396122434438/,¿Cómo endulzamos tus momentos favoritos? En Verde Sabores Saludables nos adaptamos a tus necesidades sin sacrificar el sabor espectacular de nuestro cacao al 78%. Qu... Ver más,176,5eb4abe606502553d060a11f9704b13d6d399464a631f3d82e2dbf81bf93504e,5,Verde Sabores Saludables,,,postres/repostería | saludable,cacao | saludable,Si,No,Si,Si
2026-06-29 16:55:13,https://www.facebook.com/groups/1745396122434438/,"La combinación perfecta existe: masa crujiente, salsa especial, mucho queso y los mejores ingredientes. Si buscas una pizza deliciosa a un excelente precio, este es el ... Ver más",179,141b71f3952db50b71789772f4923136b995b14fb36c24e920f7f074676323fa,5,,,,pizza | salsas,pizza | salsa,No,No,Si,Si
2026-06-29 16:55:26,https://www.facebook.com/groups/1745396122434438/,"Hay postres que simplemente abrazan el corazón… y nuestra torta de 3 leches es uno de ellos Suave, húmeda y con el balance perfecto de dulzor, preparada con mucho amor en cada paso Disponible por encargo en Medellín Escríbenos por DM o WhatsApp 312 3074358 para pedidos Ver menos",279,efe1d38655997de1df17477e7af3a0d2a79ae72af5c27b295c030e900d045b17,6,,,,postres/repostería,postre | postres | torta | 3 leches,No,No,Si,Si
2026-06-29 16:55:44,https://www.facebook.com/groups/1745396122434438/,"¿Cómo endulzamos tus momentos favoritos? En Verde Sabores Saludables nos adaptamos a tus necesidades sin sacrificar el sabor espectacular de nuestro cacao al 78%. Queremos que sepas exactamente qué contiene tu snack favorito: Para quienes buscan lo natural: Nuestras presentaciones clásicas están endulzadas con panela orgánica, aportando ese toque auténtico y tradicional que tanto nos gusta. Para quienes cuidan su salud metabólica: Nuestras presentaciones aptas para diabéticos están endulzadas con alulosa, permitiendo disfrutar de un snack nutritivo y delicioso sin afectar tus niveles de azúcar. ¿Cuál es tu versión ideal? ¡Elige la que mejor se adapte a tu estilo de vida y recarga energías con nosotros! #VerdeSaboresSaludables #SnackSaludable #CacaoReal #PanelaOrgánica #Alulosa #VidaSaludable #AlimentaciónConsciente Ver menos",836,75c062f4c5d472b85ceb7bcdbe627f7ff7c7c13301d45b566d0b99cba484007a,7,Verde Sabores Saludables,,,postres/repostería | saludable,cacao | saludable,Si,No,Si,Si
2026-06-29 16:55:56,https://www.facebook.com/groups/1745396122434438/,"¿Antojo de algo dulce? Nuestra torta 3 leches es suave y cremosa, perfecta para cualquier ocasión. Si quieres probarla déjanos un comentario o envíanos un mensaje para realizar tu pedido al WhatsApp 312 3074358 #postresmedellin #torta3leches #tortasmedellin #tresleches Ver menos",279,430afac724910eb895a7384d87bd05353811fc9de662f138d9c77adcd5a68eda,8,,,,postres/repostería,postre | postres | torta | tortas | 3 leches,No,No,Si,Si
2026-06-29 16:55:56,https://www.facebook.com/groups/1745396122434438/,¡El favorito de todos llegó para quedarse! Nuestro Postre Cremoso de Oreo es esa mezcla perfecta de cremosidad y el toque crujiente que tanto nos gusta. ¿Tienes un antojo o quieres sorprender a alguien especial? ¡Es el momento perfecto! Ingredientes de la mejor calidad. Preparado artesanalmente con mucho amor en Medellín. Haz tu pedido ahora mismo a través de nuestro WhatsApp: 312 3074358 #postresmedellin #cremosodeoreo #postredeoreo #antojitosdeisa Ver menos,463,eb1abd293caa63f73c4601b9d0dcaf75c0d6f69d51d64c7c6fd277a6c9900e72,8,Antojitosdeisa,,,postres/repostería,postre | postres | oreo,Si,No,Si,Si
2026-06-29 16:55:56,https://www.facebook.com/groups/1745396122434438/,Llevala por solo $15.000 Domicilios 302 5223321,47,b1d94df1512a6d2632341edc712737fb6bcf854045fcd014059ba6961cc6038d,8,,,,,,No,No,No,Si
2026-06-29 16:56:20,https://www.facebook.com/groups/1745396122434438/,"No dejes que el hambre te gane. Disfruta de pizzas recién horneadas, con ingredientes de calidad y un sabor irresistible. Perfectas para compartir en familia, celebrar con amigos o simplemente darte un gusto. ¡Te esperamos para que pruebes la diferencia! #LaMeraPizza #PromocionPizza #MedellinConQueso #OfertaMedellin #PizzaGratis #ElMejorQueso #PideTuPizza Ver menos",367,21655ef9e85c81c0368ca346c83417543aeb1f24c17040f5dfcab351292aab38,10,La Mera Pizza,,,pizza,pizza | pizzas,Si,No,Si,Si
2026-06-29 16:56:20,https://www.facebook.com/groups/1745396122434438/,Nuestra marca ofrece más de 7 opciones innovadoras de proteínas vegetales que transforman tu manera de comer: albóndigas... Ver más,131,b5aca40180e5d33856ff4db0cff1d7b56b08e37fd2cc282693df0c6d06551e98,10,,,,,,No,No,No,Si
2026-06-29 16:56:20,https://www.facebook.com/groups/1745396122434438/,"Este establecimiento es muy apreciado por su calidad, innovación en las fusiones, frescura y precios razonables, lo que explica su gran popularidad C&C Camarones Medellin Crra 65 #34-152 barrio Conquistadores WhatsApp 3012368667 #pescadosmedellin #puerroscaramelizados #cafe #laureles #salmon #amor #mundial #Shakyra #Bienestar #desayuno Ver menos",347,c2e5558a817afc212159900cf9446742ec492f3e35fc6ca3bf414bcb75a0ed6c,10,Cafe,,,,,Si,No,No,Si
2026-06-29 16:56:20,https://www.facebook.com/groups/1745396122434438/,Fresas con crema 6 onzas $6.000 9 onzas $9.000 12 onzas $13.000,63,8f1900dce5a55de60f96af6e3b7ba842d0a7ee458309ef42f2bcd8b4b40dce35,10,,,,,,No,No,No,Si
2026-06-29 16:56:40,https://www.facebook.com/groups/1745396122434438/,Fresas con chocolate Vienen. 3 unidades $15.000 6 unidades $24.000 Ver más,74,0bb9b774125a3afc3e9c2621b52cd5f96270410325d1ad866599894b223e37ca,11,,,,,,No,No,No,Si
2026-06-29 16:56:51,https://www.facebook.com/groups/1745396122434438/,No te pierdas la oportunidad de comer algo nuevo y de otro país sin salir del tuyo!! Más info 3... Ver más,106,1d7ffb53d12e13a0225bf2196e2f11f50a681ead6b9e20746a21b7be29bf46df,12,,,,,,No,No,No,Si
2026-06-29 16:56:51,https://www.facebook.com/groups/1745396122434438/,"**Hamburguesas Eurodogs** Disfruta una experiencia de sabor única con nuestras hamburguesas gourmet, jugosas y llenas de carácter Preparadas con ese toque alemán que marca la diferencia Calidad, sabor y antojo en cada mordida **Obtén tu hamburguesa desde $17.000** *(solo hamburguesa)* Pide ahora y pruébala #comidarapida #comida #medellincolombia #belenmedellin Ver menos",372,fed3863909c459dc9bf4417c57b1f427a9381b6f414817751d0858f741dc0049,12,,,,hamburguesa,hamburguesa | hamburguesas,No,No,Si,Si
2026-06-29 16:56:51,https://www.facebook.com/groups/1745396122434438/,Se necesita domiciliario en Belén o cerca de Belén los Alpes,60,a7256a54e8f6c245c501cee08dfc32dd8a07f75e2e7836a8e19def466428dd7d,12,,,,,,No,No,No,Si
2026-06-29 16:56:51,https://www.facebook.com/groups/1745396122434438/,"Se vende restaurante–cafetería en el centro de Medellín, cerca del Hotel Nutibara. Excelente oportunidad para emprender. Negocio acreditado, en funcionamiento y listo para trabajar. • Precio: $25 millones negociables • Se cede arriendo • Alto flujo de personas y excelente ubicación • Ideal para restaurante, cafetería o comidas rápidas • Equipado y listo para continuar operación Interesados escribir al interno para más información. Solo WhatsApp 3013557073 Ver menos",469,4d9cc1b75f7edf5a8a7c0b862278e172ff4ddbd54ef15226206ce76e6de4f1bd,12,,,,,,No,No,No,Si
2026-06-29 16:57:03,https://www.facebook.com/groups/1745396122434438/,hola buenas con el permiso de los administradores paso para ofrecer carne moler 22.000 kilo trosos Desm... Ver más,114,2cec6f6fb67f3fc49ea5800301ab7c32c8478a9d683e1533b4b58512830cadfd,13,,,,,,No,No,No,Si
2026-06-29 16:57:03,https://www.facebook.com/groups/1745396122434438/,"buenas ofertas en carnes de Res. CARNICERÍA L.A Calidad que se siente, sabor que te conquista... Ver más",104,e0a2ec71ef41b3a37bb1fedf2d72f27807c66e036f4ee3522628ad0f8752e1b0,13,,,,,,No,No,No,Si
2026-06-29 16:57:03,https://www.facebook.com/groups/1745396122434438/,No te pierdas la oportunidad de comer algo nuevo y de otro país sin salir del tuyo!! Más info 3128798067 Ver menos,114,ecdca72d3e9ae04d1a9507b1595d326665f03a5a66a29ca98b75fcb00f3e08ba,13,,,,,,No,No,No,Si
2026-06-29 16:57:13,https://www.facebook.com/groups/1745396122434438/,Fresas con crema Fresas con crema acompañadas de helado $10.000 solas $12.500 con helado,88,b6fd7010d7f0e67a030c38c51cb5f4abe80db3c3beccc619aecf7dc34d0b0eb2,14,,,,,,No,No,No,Si
2026-06-29 16:57:13,https://www.facebook.com/groups/1745396122434438/,Domicilio en Medellín delicioso arroz de leche a 10 mil 3133735131,66,2463ecfc1d5dd37676c2aa5d04f611a279a2978503c4f4dbd5180683508109fd,14,,,,,,No,No,No,Si
2026-06-29 16:57:13,https://www.facebook.com/groups/1745396122434438/,Estamos ubicados en la América domicilios 3118838465 solo WhatsApp.,67,d7cf26f90318f3d3b9c4b630a461c2745f941111f7a9252a4426db6012434e9a,14,,,,,,No,No,No,Si
2026-06-29 16:57:24,https://www.facebook.com/groups/1745396122434438/,Con toda F2R MEDELLIN.2026.,27,eb4e313feaaca0c1c055299484fd595c317f31d2cd88e0e37ccf933811d0c3ca,15,,,,,,No,No,No,Si
2026-06-29 16:57:24,https://www.facebook.com/groups/1745396122434438/,"¿Tus clientes preguntan por tus servicios… pero no te compran? Tal vez el problema no es tu producto, sino la falta de una página web que genere confianza y ventas. Hoy las empresas que no tienen presencia digital profesional están perdiendo clientes TODOS los días. Creamos páginas web y landing pages diseñadas para atraer, convencer y vender. Escríbeme y lleva tu negocio al siguiente nivel. Ver menos",404,54d31f8536c04670f94da04d6666b05a855e01cc25d6ef314ade1378d0f7a32a,15,,,,,,No,No,No,Si
2026-06-29 16:57:24,https://www.facebook.com/groups/1745396122434438/,Hay cosas que no necesitan explicación. Solo necesitan una mordida. B... Ver más,80,8b25b251fb8cf0914c237fc02b7eebeebb9e726958f0e3555c2e5fb682130db7,15,,,,,,No,No,No,Si
2026-06-29 16:57:24,https://www.facebook.com/groups/1745396122434438/,https://wa.link/521han Domicilios y Reservas,44,b57d110fe127f687132e15d385425978d4e31930120b1fa397a78ba1029e7ef4,15,,,,,,No,No,No,Si
2026-06-29 16:57:38,https://www.facebook.com/groups/1745396122434438/,"¡ATENCIÓN! El Día del Padre está a la vuelta de la esquina y los pedidos ya comenzaron a llegar. Si quieres celebrar a papá con una comida espectacular, este es el momento de reservar. Después no digas que no te avisamos. Pedidos y reservas: 301 384 5198 Faltan solo 3 días. Cupos limitados. Reserva ahora y celebra a papá como se merece. ¡Te esperamos! @destacar Ver menos",373,c2a631fe02d606da9918b450d63c75893c66a3c7064ac137d1ad88e97f3a80e0,16,,,,,,No,No,No,Si
2026-06-29 16:57:38,https://www.facebook.com/groups/1745396122434438/,¿El mejor regalo para papá? No hacer nada... y comer espectacular. L... Ver más,79,4e5146740094d2cab6611a3fc991aa031141a0c6dfee842adecc79639246641a,16,,,,,,No,No,No,Si
2026-06-29 16:57:38,https://www.facebook.com/groups/1745396122434438/,Quedan muy pocos días para consentir a papá y en la Greca toda estamos recibiendo pedidos info al 3013845198 o al 3022509535,124,bb9eb00da99358ea9ebca739df1a4eaf2545319019aaa37f72d8d7dcd9c938f8,16,,,,,,No,No,No,Si
2026-06-29 16:57:38,https://www.facebook.com/groups/1745396122434438/,¿Cansada de sentirte inflamada y sin energía? ¡Es hora de un cambio real! Acepta el RETO 5 DÍAS SIN AZÚCAR NI HARINAS. ... Ver más,130,27b8e12c6e9725aeb6c04e276e8f792f3fb71525af38525d21d5c459079add3d,16,,,,,,No,No,No,Si
2026-06-29 16:57:51,https://www.facebook.com/groups/1745396122434438/,"¿El mejor regalo para papá? No hacer nada... y comer espectacular. Llegó ese momento del año para consentir al que siempre se la juega por nosotros. Este Día del Padre, el plan es que papá no mueva un solo dedo, se olvide de la cocina y se dedique a disfrutar en familia. En Tradición en Horno preparamos el banquete por ti con todo el amor y el sabor de nuestra tierra: porchetta crujiente, el auténtico asado hulense con su sazón de siempre, o nuestra lechona tradicional. Todo listo para servir y compartir momentos que se quedan en el corazón. Dato importante: Trabajamos bajo reserva previa para garantizar que todo llegue fresquito y perfecto a tu mesa en Medellín. Los cupos vuelan cada año. Dale clic al enlace de nuestro perfil y asegura el almuerzo de papá antes de que se llenen las rutas. #DiaDelPadre #RegalosMedellin #DondeComerEnMedellin #Porchetta #AsadoHulense Ver menos",887,043f5d97a8f421b04daf6f3f256f16b669efd8cb137ec2c0aaf6711f554e94fe,17,Tradición en Horno,,,lechona | almuerzos/corrientazo,lechona | almuerzo,Si,No,Si,Si
2026-06-29 16:58:06,https://www.facebook.com/groups/1745396122434438/,La pizza más grande *Nuestras sedes* •... Ver más,49,dc2e17d62c6f441f3a326573196a88af143601ad787cba2d8b072372f31b1b3f,18,,,,pizza,pizza,No,No,Si,Si
2026-06-29 16:58:06,https://www.facebook.com/groups/1745396122434438/,"¿Antojo de algo delicioso, saludable y 100% vegetal? En Verde Sabores Saludables transformamos el concepto de comer rico. Preparamos esta arepa espectacular usando nuestros productos artesanales: albóndigas de lenteja y garbanzo, chorivegano, seitán a la plancha y nuestro increíble queso de maíz. ¡Todo lo que necesitas para un plato lleno de sabor y libre de culpas! ¿Lo mejor? Tú decides cómo combinar tus ingredientes favoritos. Haz tu pedido ahora y vive la experiencia Verde: Escríbenos al WhatsApp: 304 384 6021 #ComidaSaludable #VeganoColombia #ArepaVegana #AlimentacionConsciente #VerdeSaboresSaludables #MedellinVegano #ComidaReal Ver menos",650,c339d4dd43283c30550d26452eccfb76ef7f0501e508bff102bff27ba85341f7,18,Verde Sabores Saludables,,,saludable,saludable | vegano,Si,No,Si,Si
2026-06-29 16:58:22,https://www.facebook.com/groups/1745396122434438/,La pizza más grande *Nuestras sedes* • *MEDELLÍN ANTIOQUIA* • Laureles- (La 70) 3112175667 Carrera 70A # 46 - 39 Local 102 Cabañas 3117214130 Calle 27A # 55 - 144 *ARMENIA QUINDIO* • Armenia Quindío 3143612622 Avenida Bolivar 18 norte 55 local 1 Diagonal a la Renault Una cuadra más abajo del CC portal del Quindio HORARIOS DE ATENCIÓN 4:00pm hasta las 11:30pm Ver menos,370,12f6e93bc9314dad0fd3eb340e616156853aedea4467993067f7d96e308dae44,19,,Carrera 70A # 46 - 39 L | Calle 27A # 55 - 144,,pizza,pizza,No,Si,Si,Si
2026-06-29 16:58:22,https://www.facebook.com/groups/1745396122434438/,¡Domingo de relajo y de darte un gustico con todo el sabor de Tremendas Pizzas! S... Ver más,92,771bfb04fe4459cc32e45de4b1d7927d0604815223ee1b45f567710c4e7bfead,19,,,,pizza,pizza | pizzas,No,No,Si,Si
2026-06-29 16:58:35,https://www.facebook.com/groups/1745396122434438/,¡Hoy la tradición se siente en cada caminata! Caption completo ¿... Ver más,75,83bc52732da305378fa2ada789b67bd0788d35cbaae655a7971e38ae2ee5d5bc,20,,,,,,No,No,No,Si
